Date,Price,Bathrooms,Bathrooms (bin),Bedrooms,Bedrooms (bin),Condition,Floors,Grade,Id,Lat,Long,Price (bin),Sqft Living,Sqft Lot,View,Waterfront,Yr Built,Zipcode
4/21/2015,1387000,3.5,3.2,4,3.9,Good,2,11,2579500101,47.5359,-122.213,1381K,"4,010","10,880",Good,No,1990,98040
4/10/2015,1385000,3.25,3.2,4,3.9,Average,2.5,9,2625069070,47.6179,-122.005,1381K,"4,860","181,319",No View,No,1993,98074
4/3/2015,1378000,3.5,3.2,5,4.9,Average,2,9,1234000704,47.6575,-122.197,1346K,"3,680","8,680",No View,No,2003,98033
4/14/2015,1370000,2.25,1.6,5,4.9,Average,1,8,9359100101,47.5817,-122.246,1346K,"3,510","13,843",Average,No,1959,98040
4/24/2015,1355000,2.5,2.4,3,2.9,Average,1,9,7431500341,47.6191,-122.099,1346K,"3,600","21,399",Good,No,1950,98008
4/23/2015,1350000,4.75,4.0,4,3.9,Average,2.5,11,822069112,47.4097,-122.063,1346K,"5,230","89,298",No View,No,2002,98038
4/23/2015,1350000,3,2.4,5,4.9,Average,1.5,10,3401700150,47.7352,-122.116,1346K,"5,530","38,816",Average,No,1969,98072
4/30/2015,1349000,3.5,3.2,4,3.9,Average,2,11,8562720420,47.5375,-122.07,1346K,"4,740","8,611",Good,No,2006,98027
4/29/2015,1348000,3.5,3.2,4,3.9,Average,2,10,629860010,47.5524,-122.078,1346K,"4,640","9,827",Average,No,2007,98027
4/7/2015,1330000,3.5,3.2,4,3.9,Average,2,10,2579500181,47.5374,-122.216,1311K,"3,440","9,776",No View,No,2006,98040
4/20/2015,1328000,3,2.4,5,4.9,Average,1,9,5452800310,47.5421,-122.229,1311K,"3,340","10,796",Average,No,1964,98040
4/30/2015,1325000,2.5,2.4,3,2.9,Average,1,9,9541600110,47.595,-122.173,1311K,"3,590","8,400",No View,No,1958,98005
4/8/2015,1321500,3,2.4,3,2.9,Average,2,9,2925059135,47.6271,-122.197,1311K,"2,230","12,968",No View,No,1990,98004
4/27/2015,1305000,3.5,3.2,4,3.9,Average,2,11,1025039320,47.6672,-122.409,1275K,"3,440","5,000",No View,No,2006,98199
4/23/2015,1302000,3.5,3.2,4,3.9,Average,2,9,8924100372,47.6763,-122.267,1275K,"3,590","5,334",Average,No,2006,98115
4/7/2015,1300000,2.75,2.4,3,2.9,Average,1,12,7135520300,47.5265,-122.148,1275K,"4,120","16,365",Average,No,1999,98059
4/2/2015,1300000,3.75,3.2,5,4.9,Average,2,9,269000970,47.6418,-122.392,1275K,"4,450","7,680",No View,No,2010,98199
4/21/2015,1295000,4,3.2,5,4.9,Very Good,1,10,5460500040,47.5708,-122.212,1275K,"4,440","9,270",No View,No,1968,98040
4/16/2015,1290000,2.5,2.4,4,3.9,Average,2,9,3886903615,47.6842,-122.196,1275K,"3,430","7,200",No View,No,2014,98033
4/3/2015,1280000,3.25,3.2,4,3.9,Average,2,9,1646502355,47.6845,-122.359,1275K,"3,080","4,120",No View,No,2014,98117
4/2/2015,1272500,1.75,1.6,4,3.9,Good,2,9,1336300610,47.6279,-122.315,1240K,"2,040","5,000",No View,No,1921,98102
4/22/2015,1265000,3,2.4,4,3.9,Very Good,2.5,9,1336300445,47.6272,-122.316,1240K,"3,130","2,646",No View,No,1906,98102
4/9/2015,1255000,2.5,2.4,4,3.9,Good,2,10,3625600190,47.5306,-122.227,1240K,"3,510","13,100",No View,No,1966,98040
4/27/2015,1250000,3,2.4,4,3.9,Average,1.5,9,1125069102,47.6616,-121.999,1240K,"3,310","217,800",No View,No,1989,98053
4/14/2015,1249000,3.25,3.2,5,4.9,Average,1,10,2125059123,47.6451,-122.173,1240K,"3,950","44,431",No View,No,1969,98005
4/14/2015,1249000,3.5,3.2,4,3.9,Good,1.5,9,6738700320,47.5846,-122.29,1240K,"3,190","6,000",Good,No,1912,98144
4/14/2015,1247000,1.25,0.8,1,1.0,Good,1.5,8,724069023,47.5814,-122.081,1240K,"1,810","5,070",Excellent,Yes,1967,98075
4/15/2015,1240000,3,2.4,4,3.9,Very Good,2,8,9294300600,47.6799,-122.268,1240K,"3,010","6,139",Excellent,No,1950,98115
4/30/2015,1237500,3.25,3.2,4,3.9,Good,2,10,2954400520,47.6676,-122.069,1204K,"5,180","49,936",No View,No,1991,98053
4/27/2015,1236000,1.5,0.8,3,2.9,Good,2,8,7871500485,47.6411,-122.371,1204K,"1,670","3,852",Good,No,1928,98119
4/22/2015,1234570,2.5,2.4,2,2.0,Average,3,11,2559950110,47.6182,-122.312,1204K,"2,470",609,No View,No,2011,98112
4/17/2015,1220000,3.25,3.2,3,2.9,Average,2,9,1250201610,47.5978,-122.292,1204K,"3,030","5,600",Average,No,1905,98144
4/25/2015,1215000,2.25,1.6,4,3.9,Good,2.5,9,1300301840,47.5791,-122.241,1204K,"2,570","9,600",No View,No,1962,98040
4/24/2015,1211000,2.5,2.4,4,3.9,Average,2,10,1762600090,47.6484,-122.182,1204K,"3,430","35,120",No View,No,1984,98033
4/22/2015,1210000,3.75,3.2,4,3.9,Average,2,11,7852160170,47.5348,-121.856,1204K,"4,980","18,069",Good,No,2006,98065
4/10/2015,1210000,1.75,1.6,3,2.9,Good,1,8,1872900065,47.6163,-122.219,1204K,"1,900","13,600",No View,No,1956,98004
4/28/2015,1208000,3.75,3.2,4,3.9,Good,2,9,540100057,47.639,-122.219,1204K,"3,250","10,949",No View,No,1930,98004
4/4/2015,1208000,2.75,2.4,4,3.9,Average,2,10,7237500110,47.5297,-122.14,1204K,"4,250","10,925",No View,No,2003,98059
4/2/2015,1206500,2.75,2.4,3,2.9,Good,1.5,8,3592500866,47.6345,-122.302,1204K,"3,150","5,520",No View,No,1925,98112
4/3/2015,1205000,3,2.4,4,3.9,Average,1,9,6430500182,47.6889,-122.352,1204K,"3,330","7,650",No View,No,2008,98103
4/23/2015,1200000,3.5,3.2,4,3.9,Average,2,10,1126059108,47.7497,-122.121,1169K,"3,930","43,560",No View,No,2003,98072
4/27/2015,1200000,2.5,2.4,4,3.9,Average,2,11,4128500380,47.5588,-122.124,1169K,"4,280","12,796",No View,No,1999,98006
4/8/2015,1200000,3,2.4,4,3.9,Average,2,8,3262300920,47.6335,-122.236,1169K,"2,150","8,119",No View,No,1953,98039
4/8/2015,1200000,2.5,2.4,4,3.9,Average,2,9,2663000345,47.6272,-122.318,1169K,"2,390","4,200",No View,No,1924,98102
4/24/2015,1199500,2.5,2.4,4,3.9,Good,2,9,5315100784,47.5825,-122.242,1169K,"3,240","13,044",No View,No,1984,98040
4/24/2015,1180000,3.25,3.2,4,3.9,Average,2,10,7237550110,47.658,-122.006,1169K,"3,750","74,052",No View,No,2013,98053
4/8/2015,1175000,3.25,3.2,4,3.9,Average,1,11,3864000120,47.5508,-122.192,1169K,"3,780","10,099",Fair,No,2006,98006
4/30/2015,1175000,2,1.6,4,3.9,Good,2,10,3271801090,47.647,-122.41,1169K,"2,590","7,220",Average,No,1930,98199
4/2/2015,1170000,2.75,2.4,5,4.9,Very Good,1,9,5451200280,47.5342,-122.226,1169K,"3,090","12,031",No View,No,1968,98040
4/7/2015,1164000,3.5,3.2,3,2.9,Average,2,10,1854750030,47.5646,-122.127,1133K,"3,620","8,072",No View,No,1999,98006
4/6/2015,1160000,3,2.4,4,3.9,Average,2,8,6447300345,47.6109,-122.226,1133K,"2,680","15,438",Average,No,1902,98039
4/2/2015,1160000,3.75,3.2,4,3.9,Good,2,9,1922000180,47.5575,-122.211,1133K,"3,560","13,959",No View,No,1972,98040
4/13/2015,1150000,2.5,2.4,4,3.9,Average,1,8,327000165,47.6843,-122.267,1133K,"2,330","30,122",Fair,No,1951,98115
4/27/2015,1150000,3.5,3.2,4,3.9,Average,2,11,624110860,47.7255,-122.059,1133K,"3,760","20,609",No View,No,1990,98077
4/2/2015,1150000,3,2.4,4,3.9,Average,2,11,3303980140,47.5182,-122.149,1133K,"4,160","13,170",No View,No,2001,98059
4/17/2015,1137500,3.5,3.2,4,3.9,Average,2,8,4473400155,47.5963,-122.292,1133K,"3,160","4,200",Excellent,No,1999,98144
4/23/2015,1135000,3.25,3.2,4,3.9,Average,2,11,3303980520,47.5208,-122.15,1133K,"4,130","11,444",No View,No,2001,98059
4/8/2015,1135000,2.75,2.4,4,3.9,Good,1,9,3317500070,47.5606,-122.225,1133K,"3,840","10,004",Average,No,1963,98040
4/27/2015,1130000,2.5,2.4,5,4.9,Average,2,10,3528000310,47.6662,-122.056,1098K,"4,310","28,008",No View,No,1988,98053
4/6/2015,1130000,1.75,1.6,4,3.9,Very Good,1,9,9471201110,47.6716,-122.264,1098K,"2,370","8,400",No View,No,1949,98105
4/23/2015,1125000,3.5,3.2,4,3.9,Average,2,10,5015001215,47.6265,-122.298,1098K,"3,170","4,000",No View,No,1999,98112
4/9/2015,1120000,1.5,0.8,3,2.9,Very Good,2,9,6379500640,47.5821,-122.39,1098K,"3,000","5,750",No View,No,1924,98116
4/27/2015,1115000,3.75,3.2,4,3.9,Average,2,11,3303980210,47.5189,-122.147,1098K,"4,040","14,212",No View,No,2002,98059
4/20/2015,1115000,2.5,2.4,4,3.9,Good,1,10,1373800330,47.6434,-122.412,1098K,"3,690","11,191",Good,No,1951,98199
4/22/2015,1110000,4,3.2,3,2.9,Average,2,11,8155800050,47.6635,-122.017,1098K,"4,160","31,796",No View,No,1989,98053
4/24/2015,1110000,2.5,2.4,4,3.9,Very Good,1,8,9541600295,47.5932,-122.172,1098K,"2,990","8,640",No View,No,1959,98005
4/27/2015,1098000,3.5,3.2,4,3.9,Average,2,11,98000980,47.5859,-121.968,1063K,"4,570","16,219",No View,No,2002,98075
4/6/2015,1089000,3.25,3.2,5,4.9,Average,2,10,1326059182,47.7341,-122.102,1063K,"5,600","107,157",No View,No,1988,98072
4/14/2015,1085000,2.25,1.6,5,4.9,Good,1,10,4147200040,47.5458,-122.231,1063K,"3,650","13,068",No View,No,1976,98040
4/29/2015,1085000,2.5,2.4,3,2.9,Average,2,11,3754501205,47.7049,-122.224,1063K,"2,840","7,500",Good,No,1997,98034
4/23/2015,1081000,3,2.4,4,3.9,Average,1.5,8,8818400340,47.6628,-122.326,1063K,"2,490","4,325",No View,No,1922,98105
4/7/2015,1080000,2.75,2.4,3,2.9,Good,1,8,3271300365,47.6496,-122.413,1063K,"2,770","5,800",No View,No,1959,98199
4/25/2015,1078000,2.75,2.4,4,3.9,Average,2,9,203100690,47.6367,-121.958,1063K,"3,160","42,733",No View,No,1995,98053
4/13/2015,1075000,2.25,1.6,4,3.9,Good,1.5,9,9184700535,47.6097,-122.287,1063K,"2,820","5,000",Average,No,1926,98122
4/22/2015,1070000,2.5,2.4,4,3.9,Average,2,9,452002135,47.674,-122.371,1063K,"2,740","5,000",No View,No,2012,98107
4/20/2015,1065500,2.25,1.6,3,2.9,Average,1,8,3524039202,47.5257,-122.382,1063K,"2,950","7,232",Average,No,1983,98136
4/30/2015,1065000,2.5,2.4,3,2.9,Average,1.5,9,3125079013,47.6067,-121.952,1063K,"3,970","263,538",No View,No,1991,98024
4/1/2015,1065000,2.5,2.4,3,2.9,Very Good,3,9,809003085,47.6389,-122.349,1063K,"2,130","3,545",No View,No,1990,98109
4/15/2015,1062000,2.75,2.4,4,3.9,Very Good,1.5,8,2877104265,47.6797,-122.359,1027K,"2,720","4,000",Average,No,1928,98117
4/15/2015,1060000,3.5,3.2,4,3.9,Average,3,10,6790830090,47.5869,-122.054,1027K,"4,220","8,417",No View,No,2012,98075
4/27/2015,1052000,2.25,1.6,3,2.9,Good,2,8,9275700005,47.5878,-122.381,1027K,"2,880","6,092",Excellent,No,1983,98116
4/22/2015,1050000,4,3.2,4,3.9,Good,1,9,524069020,47.5964,-122.077,1027K,"4,550","54,013",Fair,No,1989,98075
4/27/2015,1050000,3.25,3.2,4,3.9,Average,2,9,2224069109,47.5514,-122.023,1027K,"2,930","25,020",No View,No,2013,98029
4/13/2015,1050000,2.75,2.4,5,4.9,Average,1,8,4122500095,47.6409,-122.207,1027K,"2,520","18,625",No View,No,1959,98004
4/23/2015,1050000,4,3.2,6,5.9,Average,2,10,5460600110,47.5696,-122.213,1027K,"5,310","12,741",Average,No,1967,98040
4/30/2015,1050000,4.25,4.0,4,3.9,Average,2,9,2391601195,47.5632,-122.399,1027K,"3,720","5,750",Average,No,2006,98116
4/7/2015,1050000,3,2.4,3,2.9,Average,2,10,223039330,47.5123,-122.39,1027K,"3,250","5,093",Good,No,2004,98146
4/29/2015,1049000,2.25,1.6,3,2.9,Good,2,7,8722100825,47.638,-122.306,1027K,"2,610","3,357",No View,No,1926,98112
4/6/2015,1042500,1.75,1.6,3,2.9,Good,1,8,8925100390,47.6821,-122.273,1027K,"1,900","9,375",Fair,No,1941,98115
4/10/2015,1037000,3.75,3.2,5,4.9,Average,2,11,2726059144,47.718,-122.161,1027K,"4,570","10,194",No View,No,2006,98034
4/27/2015,1031000,1.75,1.6,4,3.9,Average,1,8,3179100220,47.67,-122.274,1027K,"2,110","6,708",Good,No,1941,98105
4/9/2015,1027500,3,2.4,4,3.9,Average,2,8,2600140070,47.5471,-122.155,1027K,"3,540","10,202",No View,No,1988,98006
4/23/2015,1025000,2.75,2.4,3,2.9,Very Good,2,8,1930301325,47.6565,-122.355,992K,"2,780","4,000",Average,No,1904,98103
4/24/2015,1015000,2.5,2.4,5,4.9,Average,2,9,5332200530,47.6265,-122.296,992K,"2,350","4,000",No View,No,1993,98112
4/8/2015,1005000,2.5,2.4,3,2.9,Good,1,8,723000150,47.6578,-122.285,992K,"2,570","5,000",No View,No,1940,98105
4/8/2015,1000750,2.75,2.4,3,2.9,Average,2,10,9808590310,47.6444,-122.191,992K,"3,070","10,739",No View,No,1987,98004
4/6/2015,1000000,1,0.8,3,2.9,Average,1.5,7,1453602360,47.7213,-122.29,992K,"1,540","24,500",No View,No,1949,98125
4/22/2015,1000000,2.5,2.4,3,2.9,Average,2,10,5196410260,47.655,-122.124,992K,"3,180","10,492",Average,No,1991,98052
4/7/2015,1000000,1.75,1.6,3,2.9,Average,2,8,5457800740,47.6287,-122.351,992K,"2,610","6,360",Average,No,1924,98109
4/24/2015,1000000,2.75,2.4,5,4.9,Good,2,7,5606000233,47.6653,-122.27,992K,"1,510","5,700",Fair,No,1946,98105
4/16/2015,1000000,3,2.4,3,2.9,Average,2,9,1186000065,47.6155,-122.29,992K,"2,880","3,750",No View,No,1909,98122
4/14/2015,998000,2.25,1.6,3,2.9,Good,2,9,2600010070,47.5573,-122.16,992K,"3,370","11,757",Average,No,1980,98006
4/22/2015,995000,3.25,3.2,4,3.9,Average,2,11,2944000050,47.7193,-122.127,992K,"3,530","20,012",No View,No,1986,98052
4/16/2015,995000,3.5,3.2,4,3.9,Very Good,2,10,2927600630,47.454,-122.373,992K,"2,780","9,550",Excellent,No,1978,98166
4/9/2015,505000,1,0.8,2,2.0,Average,1,7,194000565,47.5659,-122.389,496K,"1,000","4,640",Average,No,1915,98116
4/27/2015,306000,1,0.8,2,2.0,Average,1,7,2324039077,47.5478,-122.377,283K,930,"5,650",Average,No,1941,98126
4/23/2015,573300,1.75,1.6,2,2.0,Average,1,7,34001540,47.531,-122.39,567K,"1,290","6,600",Average,No,1951,98136
4/27/2015,755000,2.5,2.4,2,2.0,Average,1,8,8682320420,47.7109,-122.017,744K,"2,170","6,361",Average,No,2009,98053
4/23/2015,485000,1,0.8,3,2.9,Average,1,7,5101402312,47.6947,-122.311,460K,"1,260","7,250",Average,No,1940,98115
4/7/2015,336000,1.5,0.8,3,2.9,Average,1,7,7891600590,47.5659,-122.36,319K,"1,240","5,000",Average,No,1964,98106
4/8/2015,316500,1.75,1.6,3,2.9,Average,1,7,2113700335,47.5311,-122.353,283K,"1,460","6,360",Average,No,1979,98106
4/20/2015,525000,1.75,1.6,3,2.9,Average,1,7,6332000130,47.5463,-122.381,496K,"1,470","6,550",Average,No,1916,98126
4/3/2015,605000,1.75,1.6,3,2.9,Average,1,7,2824600290,47.5743,-122.378,602K,"2,100","5,058",Average,No,1941,98126
4/29/2015,700000,1.75,1.6,3,2.9,Average,1,8,7902200015,47.5068,-122.386,673K,"1,820","15,570",Average,No,1948,98146
4/2/2015,640000,1.75,1.6,3,2.9,Average,1,8,7370600045,47.7212,-122.364,638K,"1,680","8,100",Average,No,1950,98177
4/22/2015,850000,2,1.6,3,2.9,Average,1,9,323089085,47.5056,-121.77,815K,"2,740","101,930",Average,No,1999,98045
4/16/2015,339900,1.5,0.8,4,3.9,Average,1,7,1598600320,47.3864,-122.22,319K,"1,570","9,210",Average,No,1965,98030
4/14/2015,439000,2.5,2.4,4,3.9,Average,1,7,8832900155,47.7596,-122.269,425K,"2,800","17,279",Average,No,1957,98028
4/22/2015,530000,2,1.6,4,3.9,Average,1,8,5152100110,47.3376,-122.323,496K,"2,150","14,161",Average,No,1966,98003
4/17/2015,840000,2.5,2.4,4,3.9,Average,1,8,4099500605,47.5889,-122.249,815K,"2,360","9,600",Average,No,1973,98040
4/21/2015,385000,1.75,1.6,5,4.9,Average,1,7,4204400098,47.4887,-122.223,354K,"2,190","8,250",Average,No,1963,98055
4/27/2015,248000,1.75,1.6,5,4.9,Average,1,8,2122059160,47.3764,-122.176,248K,"2,190","16,788",Average,No,1978,98030
4/14/2015,564000,2.25,1.6,5,4.9,Average,1,8,5101404444,47.6969,-122.31,531K,"2,140","8,700",Average,No,1962,98115
4/3/2015,585444,3.75,3.2,6,5.9,Average,1,7,9122001231,47.5816,-122.296,567K,"2,740","6,924",Average,No,1962,98144
4/7/2015,795000,1,0.8,2,2.0,Average,1.5,5,9349900105,47.5708,-122.359,779K,"1,380","5,000",Average,No,1905,98106
4/23/2015,600000,1,0.8,3,2.9,Average,1.5,7,9287801150,47.6754,-122.359,567K,"1,040","5,000",Average,No,1912,98107
4/27/2015,543000,1.5,0.8,3,2.9,Average,2,7,2346800005,47.5175,-122.393,531K,"1,710","8,364",Average,No,1944,98136
4/14/2015,260000,2.75,2.4,3,2.9,Average,2,7,2114700040,47.5327,-122.346,248K,"1,730","4,131",Average,No,1975,98106
4/28/2015,818000,3.25,3.2,3,2.9,Average,2,7,1930301015,47.6551,-122.353,815K,"2,200","4,800",Average,No,1943,98103
4/10/2015,425000,2,1.6,3,2.9,Average,2,8,9828200147,47.6168,-122.301,390K,"1,180","1,800",Average,No,1994,98122
4/14/2015,765000,2.5,2.4,3,2.9,Average,2,8,9201000100,47.5825,-122.076,744K,"2,300","9,752",Average,No,1968,98075
4/9/2015,370350,3.5,3.2,3,2.9,Average,2,8,8910500226,47.711,-122.356,354K,"1,340","1,168",Average,No,2002,98133
4/27/2015,645000,3.25,3.2,3,2.9,Average,2,9,8941800100,47.5545,-122.354,638K,"3,870","11,000",Average,No,1991,98106
4/19/2015,938000,2.5,2.4,3,2.9,Average,2,10,4139430310,47.5492,-122.119,921K,"3,090","10,940",Average,No,1992,98006
4/8/2015,900000,2.5,2.4,3,2.9,Average,2,10,1024000100,47.5709,-122.408,886K,"1,920","7,200",Average,No,1997,98116
4/7/2015,575000,2.5,2.4,4,3.9,Average,2,8,7853220740,47.5339,-121.854,567K,"2,890","9,775",Average,No,2004,98065
4/10/2015,735000,3.5,3.2,4,3.9,Average,2,8,9268851020,47.5403,-122.028,708K,"2,340","2,810",Average,No,2011,98027
4/1/2015,844000,3.5,3.2,4,3.9,Average,2,8,8149600065,47.5602,-122.39,815K,"3,350","6,350",Average,No,2009,98116
4/20/2015,574000,2.5,2.4,4,3.9,Average,2,9,8857640210,47.3895,-122.033,567K,"2,980","10,179",Average,No,2003,98038
4/22/2015,600000,2.5,2.4,4,3.9,Average,2,9,7338200170,47.4815,-121.714,567K,"2,710","35,009",Average,No,1992,98045
4/29/2015,870000,2.5,2.4,4,3.9,Average,2,9,3299610240,47.5641,-122.032,850K,"3,240","7,621",Average,No,2003,98075
4/26/2015,780000,2.5,2.4,4,3.9,Average,2,9,4027700666,47.7717,-122.277,779K,"3,180","9,603",Average,No,2002,98155
4/14/2015,700000,2.75,2.4,4,3.9,Average,2,9,7853240040,47.5398,-121.859,673K,"3,350","7,857",Average,No,2004,98065
4/22/2015,750000,3.5,3.2,5,4.9,Average,2,8,3630110360,47.5537,-121.996,744K,"2,980","5,809",Average,No,2005,98029
4/17/2015,641000,3.5,3.2,5,4.9,Average,2,8,7853360470,47.5162,-121.874,638K,"3,420","6,403",Average,No,2013,98065
4/24/2015,830000,3.5,3.2,5,4.9,Average,2,8,6909200355,47.5905,-122.292,815K,"2,880","3,750",Average,No,2001,98144
4/24/2015,820875,3.25,3.2,5,4.9,Average,2,9,7853280250,47.538,-121.858,815K,"3,860","9,387",Average,No,2006,98065
4/14/2015,540000,2,1.6,3,2.9,Average,2.5,8,9272201318,47.5903,-122.386,531K,"1,580","1,972",Average,No,2007,98116
4/13/2015,580000,2.5,2.4,3,2.9,Average,3,8,9274200320,47.589,-122.387,567K,"1,740","1,280",Average,No,2008,98116
4/2/2015,375000,2,1.6,4,3.9,Fair- Badly worn,2,7,2126079124,47.7216,-121.907,354K,"1,790","61,419",Average,No,1988,98019
4/23/2015,400000,1,0.8,2,2.0,Good,1,6,5312100040,47.5728,-122.306,390K,"1,010","3,916",Average,No,1918,98144
4/22/2015,215000,1,0.8,3,2.9,Good,1,6,2620069077,47.1963,-121.997,213K,880,"7,648",Average,No,1940,98022
4/27/2015,675000,1.5,0.8,3,2.9,Good,1,7,2819100140,47.6962,-122.397,673K,"1,460","6,480",Average,No,1940,98117
4/22/2015,650000,2.25,1.6,3,2.9,Good,1,7,9201000120,47.5822,-122.077,638K,"1,790","9,927",Average,No,1969,98075
4/21/2015,541500,1.75,1.6,3,2.9,Good,1,8,3914000090,47.3121,-122.253,531K,"2,320","55,847",Average,No,1960,98001
4/8/2015,954500,2.25,1.6,3,2.9,Good,1,8,4039701280,47.6141,-122.111,921K,"2,440","9,689",Average,No,1974,98008
4/10/2015,986000,2.5,2.4,3,2.9,Good,1,9,2485000202,47.5262,-122.386,956K,"2,380","16,080",Average,No,1964,98136
4/9/2015,575000,1.75,1.6,4,3.9,Good,1,7,4038700830,47.6148,-122.113,567K,"2,330","8,800",Average,No,1961,98008
4/17/2015,560000,1.75,1.6,4,3.9,Good,1,7,3298720030,47.5344,-122.345,531K,"2,150","8,555",Average,No,1982,98106
4/6/2015,495000,2.5,2.4,4,3.9,Good,1,7,2523069134,47.4579,-121.981,460K,"2,480","91,911",Average,No,1973,98027
4/20/2015,638500,1.75,1.6,4,3.9,Good,1,8,3123049230,47.4355,-122.338,638K,"1,770","12,462",Average,No,1962,98166
4/29/2015,466000,2,1.6,4,3.9,Good,1,8,3878900270,47.5096,-122.25,460K,"2,240","4,508",Average,No,1926,98178
4/16/2015,750000,2.25,1.6,4,3.9,Good,1,8,7773800015,47.4954,-122.366,744K,"2,420","11,120",Average,No,1952,98146
4/13/2015,571000,2.25,1.6,4,3.9,Good,1,8,5072400100,47.4434,-122.343,567K,"2,290","9,900",Average,No,1959,98166
4/21/2015,485000,2.75,2.4,4,3.9,Good,1,9,5152800030,47.3397,-122.322,460K,"2,910","16,362",Average,No,1969,98003
4/21/2015,549000,2.5,2.4,5,4.9,Good,1,9,5152920170,47.3427,-122.325,531K,"3,440","12,350",Average,No,1976,98003
4/14/2015,700000,1.5,0.8,2,2.0,Good,1.5,7,8701600510,47.5742,-122.379,673K,"1,850","4,945",Average,No,1907,98126
4/18/2015,887000,2,1.6,3,2.9,Good,2,8,6649900090,47.7745,-122.368,886K,"3,000","22,040",Average,No,1942,98177
4/22/2015,950000,3,2.4,3,2.9,Good,2,8,7779200355,47.4852,-122.357,921K,"3,610","17,483",Average,No,1954,98146
4/27/2015,345000,1.75,1.6,5,4.9,Good,2,7,3810000843,47.4961,-122.235,319K,"2,840","12,870",Average,No,1925,98178
4/28/2015,575000,2,1.6,3,2.9,Very Good,1,7,7579200600,47.5579,-122.384,567K,"1,750","5,750",Average,No,1956,98116
4/2/2015,724950,2.5,2.4,4,3.9,Very Good,1.5,7,1982200480,47.6631,-122.361,708K,"2,860","3,638",Average,No,1924,98107
4/2/2015,598000,2.5,2.4,4,3.9,Very Good,1.5,7,952000495,47.5671,-122.378,567K,"2,420","5,118",Average,No,1926,98126
4/2/2015,424305,2.5,2.4,3,2.9,Very Good,2,8,3365900175,47.4758,-122.265,390K,"1,600","5,960",Average,No,1910,98168
4/24/2015,729000,1.5,0.8,3,2.9,Average,1,9,3585300410,47.7648,-122.37,708K,"1,770","30,689",Excellent,No,1953,98177
4/1/2015,599950,2.5,2.4,3,2.9,Average,1,9,220069106,47.2498,-122.003,567K,"1,970","106,722",Excellent,No,1985,98022
4/29/2015,795000,2.5,2.4,4,3.9,Average,1,8,6744700900,47.7429,-122.285,779K,"2,570","13,450",Excellent,No,1948,98155
4/15/2015,937500,2.5,2.4,4,3.9,Average,1,9,3585900090,47.7598,-122.372,921K,"3,130","21,100",Excellent,No,1956,98177
4/28/2015,800000,2.5,2.4,3,2.9,Average,2,7,139000185,47.5865,-122.397,779K,"2,100","4,440",Excellent,No,1945,98116
4/13/2015,715000,2.5,2.4,4,3.9,Average,2,9,7852090390,47.5344,-121.874,708K,"3,020","7,035",Excellent,No,2001,98065
4/9/2015,975000,2.5,2.4,3,2.9,Average,2.5,9,7935000625,47.5465,-122.398,956K,"2,530","7,000",Excellent,No,1915,98136
4/24/2015,780000,4,3.2,3,2.9,Average,3,8,8129700644,47.6598,-122.355,779K,"2,080","2,250",Excellent,No,1997,98103
